Year,Month,Monthly_Anomaly,Monthly_Uncertainty,Annual_Anomaly,Annual_Uncertainty,FiveYear_Anomaly,FiveYear_Uncertainty,TenYear_Anomaly,TenYear_Uncertainty,TwentyYear_Anomaly,TwentyYear_Uncertainty
1850,1,-0.782,0.47,,,,,,,,
1850,2,-0.268,0.396,,,,,,,,
1850,3,-0.413,0.345,,,,,,,,
1850,4,-0.701,0.396,,,,,,,,
1850,5,-0.694,0.305,,,,,,,,
1850,6,-0.397,0.244,-0.532,0.181,,,,,,
1850,7,-0.255,0.207,-0.49,0.171,,,,,,
1850,8,-0.245,0.245,-0.51,0.167,,,,,,
1850,9,-0.511,0.252,-0.531,0.164,,,,,,
1850,10,-0.672,0.3,-0.53,0.158,,,,,,
1850,11,-0.673,0.263,-0.506,0.155,,,,,,
1850,12,-0.573,0.301,-0.497,0.155,,,,,,
1851,1,-0.268,0.349,-0.496,0.157,,,,,,
1851,2,-0.511,0.3,-0.503,0.163,,,,,,
1851,3,-0.671,0.29,-0.493,0.169,,,,,,
1851,4,-0.682,0.286,-0.452,0.171,,,,,,
1851,5,-0.404,0.295,-0.431,0.179,,,,,,
1851,6,-0.297,0.243,-0.402,0.188,,,,,,
1851,7,-0.243,0.204,-0.407,0.202,,,,,,
1851,8,-0.323,0.276,-0.412,0.21,,,,,,
1851,9,-0.394,0.288,-0.423,0.213,,,,,,
1851,10,-0.176,0.355,-0.416,0.211,,,,,,
1851,11,-0.426,0.302,-0.402,0.209,,,,,,
1851,12,-0.224,0.386,-0.397,0.211,,,,,,
1852,1,-0.324,0.488,-0.388,0.211,,,,,,
1852,2,-0.569,0.412,-0.396,0.205,,,,,,
1852,3,-0.802,0.34,-0.396,0.202,,,,,,
1852,4,-0.597,0.289,-0.403,0.188,,,,,,
1852,5,-0.241,0.272,-0.417,0.178,,,,,,
1852,6,-0.232,0.26,-0.399,0.167,-0.427,0.138,,,,
1852,7,-0.135,0.199,-0.405,0.16,-0.414,0.137,,,,
1852,8,-0.429,0.247,-0.4,0.16,-0.413,0.131,,,,
1852,9,-0.394,0.243,-0.377,0.158,-0.411,0.129,,,,
1852,10,-0.251,0.21,-0.363,0.163,-0.402,0.125,,,,
1852,11,-0.603,0.255,-0.372,0.162,-0.395,0.124,,,,
1852,12,-0.009,0.325,-0.376,0.159,-0.394,0.121,,,,
1853,1,-0.388,0.377,-0.371,0.157,-0.396,0.121,,,,
1853,2,-0.508,0.4,-0.35,0.158,-0.398,0.121,,,,
1853,3,-0.531,0.277,-0.358,0.154,-0.398,0.119,,,,
1853,4,-0.436,0.329,-0.383,0.157,-0.393,0.117,,,,
1853,5,-0.343,0.251,-0.393,0.156,-0.389,0.118,,,,
1853,6,-0.277,0.214,-0.426,0.158,-0.39,0.118,,,,
